Source_Node_u,Target_Node_v,Weight_Distance_km,Highway_Type,Is_Oneway
0,887,0.023395793744571212,secondary,False
0,3360,0.012633999718386208,secondary,False
0,4397,0.006041534755385553,residential,False
1,3580,0.03699666472599012,service,False
2,2096,0.03287312391598104,residential,False
2,2842,0.031360667691787546,residential,False
2,5137,0.016344645729653703,service,False
3,3650,0.04244038426937152,primary,False
3,4245,0.042943169316033154,primary,False
4,1451,0.0035395647864572832,service,False
4,1937,0.007756343170804504,service,False
5,4434,0.013650942866478676,service,False
6,3354,0.030532881241135488,residential,True
7,2974,0.006131239157147569,service,False
7,5680,0.03783595844370355,service,False
8,1536,0.00444065703913336,secondary,False
8,4309,0.005843834449690771,secondary,False
9,3151,0.004144377511687957,service,False
9,5639,0.04801662289963172,service,False
10,784,0.006132740375332809,residential,False
10,1043,0.004972329723796495,residential,False
10,4746,0.07389857344272556,residential,False
11,3467,0.03834692282327074,residential,False
11,4883,0.029165709066607683,residential,False
12,1210,0.011679879770975081,service,False
12,4984,0.019777493006015275,service,False
13,2248,0.014292761166533918,service,False
13,4991,0.0273320776611707,service,False
14,2161,0.047884324745927055,service,False
14,4099,0.005766305139499181,service,False
14,5053,0.017863093464496466,service,False
15,3884,0.032761790199826814,service,False
16,1443,0.03373465006648735,residential,False
16,3804,0.03379022068106615,residential,False
17,1690,0.004691144755872283,residential,False
17,1841,0.024808166006187442,residential,False
18,2617,0.03118351215711105,service,False
18,4421,0.020881917031909843,service,False
19,2311,0.03686989853335317,primary,True
20,2228,0.014917872024095483,primary_link,False
20,4939,0.004806693112082695,primary_link,False
21,996,0.01907372334327396,primary,True
22,108,0.018203444731546413,service,False
22,733,0.013453434759322246,service,False
22,1339,0.009336711210697781,service,False
22,2777,0.00582056655019234,service,False
23,781,0.01219106958123204,residential,False
23,2695,0.021172338552860392,residential,False
24,2399,0.036252080037218665,residential,True
24,3362,0.01311749210097913,service,False
25,4082,0.007665506360834835,service,False
25,5101,0.04449446370321921,service,False
26,490,0.07395299635089313,service,False
26,1773,0.005270803077615588,service,False
26,3226,0.0124096316815828,service,False
27,3790,0.018931029775441248,tertiary,True
28,2856,0.005702024098817451,service,False
28,5230,0.006032361538460467,service,False
29,216,0.0036270259907754884,service,False
29,251,0.008183584654408103,service,False
30,610,0.01926262845619243,secondary,False
30,3070,0.014249822215918015,secondary,False
30,4845,0.005056058628734097,residential,False
31,1791,0.013313929985785886,service,False
32,3217,0.007142110288198055,service,False
32,4226,0.05777508508491862,secondary,True
33,2680,0.005575308396949267,service,False
33,3116,0.0843082283428613,service,False
33,4786,0.08419592065005739,residential,False
33,5088,0.02479885393048066,residential,False
34,1270,0.01838063878950807,service,False
34,3740,0.009772485181049046,service,False
35,766,0.032734543716072255,residential,False
35,2882,0.010107572852807993,residential,False
36,3743,0.0052523397554327285,service,False
36,4606,0.007178189240107365,service,False
37,5279,0.005721542712138306,service,False
37,5347,0.006356860956192826,service,False
38,2516,0.009716803972508143,residential,False
38,4915,0.06020261469097557,residential,False
39,816,0.00541818061889771,residential,False
39,1300,0.017100612731593405,residential,False
40,1855,0.007068839333026987,secondary,False
41,484,0.0015426254857685987,service,False
41,4406,0.004514793647173318,service,False
42,208,0.0058771088696590815,service,False
42,3764,0.04087217808827309,service,False
43,1079,0.027807564932313514,service,False
44,1811,0.07380311774188887,service,False
44,5554,0.007591523247002874,service,False
45,1650,0.00998006505430513,residential,False
45,2958,0.010396576454747659,residential,False
46,4749,0.004063370358387638,service,False
46,5437,0.007077615205880629,service,False
47,3850,0.0069531888938468,secondary,True
48,972,0.02387217844278894,service,False
48,5273,0.0321946572379943,service,False
49,1537,0.017215098590135175,service,False
49,4504,0.06502241400986011,service,False
50,2705,0.0018376412484415743,service,False
50,5657,0.004937753108860902,service,False
51,3066,0.0058744030603222275,residential,False
51,4762,0.024376802255233386,residential,False
52,1571,0.006856321715531168,residential,False
52,3143,0.004739292183525409,residential,False
53,749,0.03492770145175511,secondary,True
53,5679,0.01706226158639939,primary,True
54,1236,0.01843345305005356,residential,False
54,1868,0.06932488380364257,residential,False
55,976,0.09659111224388783,service,True
56,225,0.026275165979451693,residential,False
56,3724,0.02352597236758617,residential,False
57,247,0.04891464933240617,tertiary,False
57,1473,0.010673299123755746,service,False
57,2164,0.059878471597357506,tertiary,False
58,2920,0.019272871163518918,residential,False
58,5588,0.0012428800381072344,residential,False
59,860,0.0275176614358051,residential,False
59,2412,0.013726497023542748,residential,False
60,2553,0.02897198874014614,service,False
61,4755,0.022425130272470593,service,False
61,4969,0.011710190108730124,service,False
62,3953,0.028453382400702706,service,True
62,4286,0.0376642568456071,service,False
63,487,0.005881451388566288,tertiary,False
63,1320,0.006430096082825013,tertiary,False
64,1792,0.0034149558836763247,primary_link,True
65,3175,0.051125718054251985,service,False
66,4659,0.013413332745574538,service,False
66,5678,0.009850598407372194,service,False
67,1464,0.012078364944688605,tertiary,True
68,1818,0.032374630292060856,service,False
68,5047,0.02849833624858094,residential,False
69,834,0.008288576581363215,secondary,True
70,4394,0.03486347315844626,service,True
71,140,0.015263092935837106,service,False
71,2308,0.004502365685018109,service,False
72,1167,0.00813738743174262,service,True
73,153,0.012744555950086334,service,False
73,4868,0.013764615728462982,service,False
73,5072,0.0345807548376863,service,False
74,87,0.052953592423596735,service,False
74,1295,0.011141018283532115,service,False
75,600,0.004153429094471679,service,False
75,1220,0.0028868447156122096,service,False
76,332,0.03114499542011629,residential,False
76,5292,0.014455695287629735,residential,False
77,4332,0.03310696275722928,service,True
78,438,0.07014848333171902,residential,False
78,5537,0.008690606956801397,residential,False
79,782,0.014944219253830946,service,False
79,2430,0.011333515424111814,service,False
80,2369,0.021329346860444968,service,False
80,3478,0.0090784193321843,service,False
80,4610,0.06174879815363288,service,False
81,1154,0.027620650121673376,secondary_link,True
82,4166,0.03558841788180055,service,False
82,5006,0.033439542958027396,service,False
83,2493,0.03387959151634407,tertiary,False
83,2551,0.050310917825118845,tertiary,False
84,499,0.06522849528185629,service,False
84,1028,0.012911519254528851,service,False
84,1889,0.02682143446511608,service,False
85,522,0.013019958356000288,residential,False
85,5432,0.02898997442618028,residential,False
86,4232,0.009345257932902223,service,False
87,74,0.052953592423596735,service,False
87,5014,0.05656460386248813,service,False
88,1374,0.01790986373962893,service,False
88,4401,0.006282472101247319,service,False
89,1973,0.018410796257339504,service,False
89,2886,0.006852122552392892,service,False
89,4587,0.008436471204844382,service,False
90,2142,0.0033689895559049768,service,False
90,3316,0.017652027392166786,service,False
91,1050,0.02325215333498666,tertiary,False
91,1793,0.021466649604286313,tertiary,False
91,2662,0.019983594394119533,secondary,True
92,1979,0.02893887753464979,tertiary,True
93,1214,0.05557366311467427,tertiary,False
93,1913,0.008339048400309343,tertiary,False
94,265,0.0019268038268799416,service,False
94,1825,0.0019285556788481298,service,False
95,2436,0.013410147936071141,service,False
95,4174,0.01901161622563125,service,False
96,432,0.03409786626662491,service,False
96,5682,0.010167969486863175,service,False
97,2987,0.012618542820831047,residential,False
97,3962,0.015303642083630808,residential,False
98,144,0.03242219532143481,service,False
98,806,0.007376307977207201,service,False
98,1888,0.014013790377447401,service,False
98,5285,0.01439872166477346,service,False
99,4732,0.012521429594719819,primary,True
100,2458,0.030575847838069055,service,True
100,3364,0.012657362155282115,service,False
101,1481,0.007598017596039094,service,False
101,2671,0.009155959190773732,service,False
102,3884,0.0250293368285149,service,False
103,474,0.04441143097291747,service,False
103,5350,0.021288228007979394,service,False
104,2052,0.013690336047292929,service,False
104,5002,0.018177246708588266,service,False
105,2588,0.09257832802502894,residential,False
105,2874,0.022335695386410535,residential,False
106,305,0.00839861094927343,residential,True
106,1485,0.007737585031251091,residential,False
106,5119,0.009305429056643725,residential,True
107,1005,0.008987742575137589,service,False
107,2792,0.01244855610188922,service,False
108,22,0.018203444731546413,service,False
109,1331,0.007524766692976822,service,False
109,2521,0.005947615895234932,service,False
110,890,0.035256405644407324,service,False
110,2125,0.049318045523955197,service,False
111,979,0.008055231100964308,primary,True
111,5536,0.008928936416925702,primary,True
112,1133,0.03673401140322758,primary,True
113,1670,0.0010993074976428287,residential,False
113,5374,0.0010099167153858478,residential,False
114,3230,0.013714613162590917,service,False
114,4745,0.00912197748708741,service,False
115,2791,0.0022842274099450378,service,False
116,462,0.019381391066371143,service,False
117,432,0.01091089764529597,service,False
117,5262,0.010496945391689284,service,False
118,543,0.005022147885979099,service,False
118,3952,0.00454350435717184,service,False
119,633,0.00917797937416749,residential,True
120,1206,0.07563625882840724,residential,False
120,4226,0.0071302490093601715,residential,False
121,2788,0.10203185367569809,primary,True
121,4729,0.011223068151375599,residential,False
122,1791,0.019143815764296922,service,False
122,2686,0.006342295802635645,service,False
123,3097,0.029907122794437645,service,False
123,4225,0.027052429373539355,service,False
123,5558,0.030523428894540544,service,False
124,524,0.031152723410401408,service,False
124,3141,0.028040214267681857,service,False
124,5344,0.03300047818098648,service,False
125,794,0.019744540763316592,service,False
125,1981,0.00829309013915513,service,False
126,4095,0.009362681328407564,service,False
126,5625,0.007472104482111247,service,False
127,604,0.016675765552911954,service,False
127,2781,0.028763042963268606,service,False
127,5290,0.017462842460328053,service,False
128,557,0.0006964916037805008,service,False
128,5187,0.0026260183887669747,service,False
129,2869,0.004960796083157008,service,False
129,3952,0.011746048952410946,service,False
130,289,0.04727781270188017,service,False
131,3301,0.004535165099593332,service,False
132,3772,0.018933775277309096,primary,True
133,2307,0.00801601999670856,service,False
133,2903,0.03380433322519735,primary,True
134,2785,0.040517035589956875,service,False
134,5394,0.002924444990413935,service,False
135,704,0.015822756567036092,primary,True
136,2716,0.004072309681228622,service,False
136,5663,0.004240994861029143,service,False
137,4752,0.012103961396268084,tertiary,False
137,5000,0.012029779126542937,tertiary,False
138,1722,0.007792710426734464,service,False
138,2776,0.023543755730845817,service,False
138,5264,0.01988222793972308,service,False
139,650,0.04072898044443323,service,False
140,71,0.015263092935837106,service,False
140,5271,0.03591864111601007,service,False
141,1030,0.0234199013159373,service,False
141,4271,0.028745689786340296,service,True
142,680,0.012949737263566187,service,False
142,3953,0.029177492050557502,service,False
142,4618,0.019631867215647074,service,False
143,3022,0.015137207987748149,service,False
144,98,0.03242219532143481,service,False
144,1322,0.015355224620515244,service,False
145,1905,0.0961312079739901,residential,False
145,2273,0.013863129573358062,residential,False
145,3422,0.08513748276889738,residential,False
145,3639,0.1096339022663123,residential,False
146,1486,0.010817235422468886,service,False
146,3107,0.0015193956715888626,service,False
146,5525,0.005653133491800437,service,False
147,2871,0.013023452908861912,service,False
147,3273,0.011463239560000917,service,False
148,896,0.02603411319350928,residential,False
148,1271,0.0617644454429095,residential,False
148,4478,0.016547612647200442,residential,False
149,2278,0.020129645368610644,service,False
149,5080,0.012135923495597369,service,False
150,2321,0.006682815091215348,service,False
150,3636,0.015612552610330935,service,False
151,3186,0.018262106300438233,tertiary,True
152,1001,0.00997228368372026,service,False
152,4627,0.0025945182595302155,service,False
153,73,0.012744555950086334,service,False
153,2087,0.04983254451071512,service,False
153,4415,0.020619378826220006,service,False
154,1876,0.010713245194067036,service,False
154,3420,0.014081668626806574,service,False
154,4638,0.027661658527223604,service,False
155,3894,0.005270246692146801,primary_link,True
156,2732,0.016376332766512895,residential,False
